# Mach45 analytic profile (Lowrie & Edwards 2008)
# Np=2000  xmin=1950.0  xmax=2450.0  shock_x=2300.0
# x(cm), rho(g/cc), T_gas(K), Erad(erg/cc), v_x(cm/s)
2031.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2032.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2032.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2032.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2032.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2033.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2033.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2033.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2033.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2034.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2034.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2034.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2034.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2035.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2035.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2035.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2035.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2036.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2036.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2036.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2036.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2037.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2037.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2037.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2037.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2038.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2038.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2038.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2038.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2039.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2039.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2039.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2039.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2040.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2040.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2040.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2040.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2041.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2041.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2041.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2041.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2042.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2042.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2042.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2042.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2043.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2043.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2043.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2043.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2044.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2044.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2044.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2044.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2045.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2045.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2045.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2045.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2046.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2046.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2046.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2046.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2047.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2047.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2047.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2047.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2048.125, 1.0000008005978012, 1163532.2488610412, 25550277982.382507, 570999542.8591689
2048.375, 1.0004117763565197, 2742043.463583909, 7089691935215.163, 570764972.4801972
2048.625, 1.000700484355846, 3844522.0489912163, 13264605783100.723, 570600303.4160149
2048.875, 1.000885172754333, 4544566.022161615, 18351284929331.85, 570495013.3605033
2049.125, 1.0010285122553348, 5083939.155211848, 23194821784411.953, 570413322.9092214
2049.375, 1.0011490429592913, 5534255.199396951, 28014676683177.76, 570344649.4999491
2049.625, 1.0012549384482845, 5927095.84697083, 32903391219025.3, 570284328.2727956
2049.875, 1.0013505783839993, 6279414.283439791, 37901758279608.51, 570229859.8816808
2050.125, 1.0014385852655852, 6601377.886833156, 43030267702946.984, 570179747.8206915
2050.375, 1.0015206631799356, 6899599.721096427, 48300381670749.63, 570133019.713118
